date_and_time_of_initial_call,date_and_time_of_ranger_response,borough,property,location,species_description,call_source,species_status,animal_condition,duration_of_response,age,animal_class,311sr_number,final_ranger_action,of_animals,pep_response,animal_monitored,rehabilitator,hours_spent_monitoring,police_response,esu_response,acc_intake_number
2018-08-21T15:41:00,2018-08-21T15:45:00,Manhattan,Central Park,E 97th street transverse road,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1604778741,ACC,1,false,false,,,true,false,38927
2018-08-21T14:43:00,2018-08-21T14:45:00,Manhattan,Central Park,Oak Bridge,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1604778740,ACC,1,false,false,,,false,false,38926
2018-08-21T08:00:00,2018-08-21T09:30:00,Manhattan,Central Park,The end of Litterary Walk near East 64th and East Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1604273583,ACC,1,false,false,,,false,false,38879
2018-08-21T08:00:00,2018-08-21T09:20:00,Manhattan,Central Park,Children's Zoo. Nearest cross street is 5th Ave at East 65th,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1604618551,ACC,1,false,false,,,false,false,38878
2018-08-21T08:00:00,2018-08-21T09:15:00,Manhattan,Central Park,North of Bow Bridge in the Ramble. Nearest Cross street is CPW and West 72nd,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1604273584,ACC,1,false,false,,,false,false,38877
2018-08-21T08:00:00,2018-08-21T08:50:00,Manhattan,Central Park,West Drive West 75th near Oak Bridge,Raccoon,"Conservancies/""Friends of"" Groups",Native,,1.5,Adult,Small Mammals-RVS,1-1-1604273585,ACC,1,false,false,,,false,false,38876
2018-08-21T08:00:00,2018-08-21T08:40:00,Manhattan,Central Park,West Drive at West 79th. In front of the CPC Yard entrance,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1604273586,ACC,1,false,false,,,false,false,38875
2018-08-20T15:00:00,2018-08-20T15:15:00,Manhattan,Central Park,"W 77th st., Balcony bridge",Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-08-20T13:20:00,2018-08-20T14:00:00,Manhattan,Central Park,"85th Street Transverse, East of Central Park Precinct",Raccoon,Other,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1605183191,ACC,1,false,false,,,true,false,38808
2018-08-20T09:00:00,2018-08-20T10:00:00,Manhattan,Central Park,Loeb Boathouse,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.25,Adult,Small Mammals-RVS,1-1-1604583561,ACC,1,false,false,,,false,false,38767
2018-08-20T11:15:00,2018-08-20T00:35:00,Manhattan,Central Park,Delecorte theater/ sec 4,Raccoon,Other,Native,N/A,1,Juvenile,Small Mammals-RVS,1-1-1605102041,Unfounded,1,false,false,,,false,false,
2018-08-20T10:00:00,2018-08-20T10:00:00,Manhattan,Central Park,85th st. and East Drive,Raccoon,Other,Native,Healthy,0.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.5,false,false,
2018-08-20T11:15:00,2018-08-20T11:35:00,Manhattan,Central Park,Delacorte Theater/ Sec 4 entrance,Raccoon,Other,Native,Healthy,1,Juvenile,Small Mammals-RVS,1-1-1605102041,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-08-20T09:00:00,2018-08-20T09:20:00,Manhattan,Central Park,E 94th St. & 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1598977690,ACC,1,false,false,,,false,false,38755
2018-08-19T16:30:00,2018-08-19T16:30:00,Staten Island,Midland Beach,Midland Beach off of Father Capodanno blvd between Midland and Hunter,Black backed gull,Employee,Native,Unhealthy,1.5,Adult,Birds,1-1-1606326980,ACC,1,true,false,,,false,false,38713
2018-08-19T13:00:00,2018-08-19T13:00:00,Manhattan,Central Park,85th and East Drive,Raccoon,Other,Native,Healthy,1,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,,true,false,
2018-08-19T13:20:00,2018-08-19T13:30:00,Manhattan,Central Park,Delacorte Theater,Raccoon,Employee,Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1604222811,ACC,1,false,false,,,false,false,46986
2018-08-19T11:40:00,2018-08-19T12:10:00,Manhattan,Central Park,"West 77th and the West drive, near Oakbridge",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,"Juvenile;#Adult",Small Mammals-RVS,1-1-1605149720,ACC,2,false,false,,,false,false,38672
2018-08-19T09:30:00,2018-08-19T09:30:00,Manhattan,Central Park,W 75th & West Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,1,false,true,,0.5,false,false,
2018-08-19T09:00:00,2018-08-19T09:00:00,Manhattan,Central Park,Arthur Ross Pinetum,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Infant,Small Mammals-RVS,1-1-1604754121,ACC,1,false,false,,,false,false,38647
2018-08-18T16:30:00,2018-08-18T16:30:00,Manhattan,Central Park,West Drive at West 72nd. On the pedestrian path,Raccoon,Observed by Ranger,Native,Unhealthy,0.15,Adult,Small Mammals-RVS,N/A,Monitored Animal,1,false,false,,,false,false,
2018-08-18T16:00:00,2018-08-18T16:10:00,Manhattan,Central Park,Inside Delacorte Theater Seating area. Nearest Cross Street West 81st and CPW,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1605107152,ACC,1,false,false,,,false,false,38616
2018-08-18T14:00:00,2018-08-18T14:15:00,Bronx,Pelham Bay Park,By dog run,Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1605107150,ACC,1,false,false,,,false,false,46837
2018-08-17T17:05:00,2018-08-18T11:01:00,Manhattan,Central Park,Reservoir - 86th & E. Drive - south pump house - between fence and waters edge,raccoon,Central,Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1605153181,ACC,1,false,false,,,false,false,38590
2018-08-17T12:00:00,2018-08-17T15:10:00,Queens,Rockaway Beach and Boardwalk,"Beach 55th St and surf, near shoreline outside of plover site",gull,Employee,Native,Injured,3.5,Adult,Birds,,Monitored Animal,1,false,true,,0.5,false,false,
2018-08-17T08:30:00,2018-08-17T09:30:00,Manhattan,Central Park,West 79th West Drive at the top steps near Shakespeare Garden,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1605101944,ACC,1,false,false,,,false,false,38474
2018-08-17T09:00:00,2018-08-17T09:30:00,Manhattan,Central Park,West 79th and West Drive across from 79th St Yard entrance and Swedish Cottage. Nearest cross street Central Park West at West 79th,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1605101944,ACC,1,false,false,,,false,false,38473
2018-08-17T13:00:00,2018-08-17T14:15:00,Manhattan,Central Park,Ramble Shed. East 79th 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,N/A,Monitored Animal,1,false,false,,,false,false,
2018-08-17T13:00:00,2018-08-17T14:00:00,Manhattan,Central Park,Balton Statue. East 65th and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1605107061,ACC,1,false,false,,,false,false,38513
2018-08-16T14:30:00,2018-08-17T15:00:00,Brooklyn,Marine Park,S/E corner of Burnett Street and Avenue U,Eastern Gray Squirrel,Public,Native,Unhealthy,3,Infant,Small Mammals-non RVS,1-1-1605101941,Rehabilitator,4,false,true,Wild Bird Fund,1,false,false,
2018-08-16T09:30:00,2018-08-16T09:45:00,Manhattan,Inwood Hill Park,Bolton Rd,White-tailed deer doe,Employee,Native,Healthy,0.75,Adult,Deer,n/a,Unfounded,1,false,false,,,false,false,
2018-08-16T14:50:00,2018-08-16T15:10:00,Manhattan,Central Park,96th Street Transverse entrance/ near playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,,1,Adult,Small Mammals-RVS,1-1-1604583422,ACC,1,false,false,,,false,false,38397
2018-08-16T15:00:00,2018-08-16T15:15:00,Manhattan,Central Park,"79 street transverse road, east side",raccoon,Public,Native,Healthy,1.5,Juvenile,Small Mammals-non RVS,1-1-1604583423,ACC,1,false,false,,,false,false,38398
2018-08-16T13:20:00,2018-08-16T13:25:00,Manhattan,Central Park,Loeb Boathouse,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1605148960,ACC,1,false,false,,,false,false,38388
2018-08-16T11:00:00,2018-08-16T11:00:00,Manhattan,Central Park,Loeb Boathouse. Cross Street West 72nd and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,N/A,Unfounded,1,false,false,,,false,false,
2018-08-16T09:30:00,2018-08-16T10:45:00,Manhattan,Central Park,Tennis House,raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601184830,ACC,1,false,false,,,false,false,38356
2018-08-16T08:00:00,2018-08-16T09:10:00,Manhattan,Central Park,The Great Lawn Ball Fields between field 3 and 5,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Juvenile,Small Mammals-RVS,,Monitored Animal,1,false,false,,,false,false,
2018-08-16T08:00:00,2018-08-16T09:55:00,Manhattan,Central Park,Delacorte Theater,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1601184835,ACC,1,false,false,,,false,false,38343
2018-08-16T11:30:00,2018-08-16T11:30:00,Manhattan,Central Park,79th Street Transverse West on sidewalk,Raccoon,Public,Native,N/A,0.5,Juvenile,Small Mammals-RVS,N/A,Unfounded,1,false,false,,,false,false,
2018-08-16T11:30:00,2018-08-16T11:30:00,Manhattan,Central Park,79th Street Transverse West. On side walk,Raccoon,Public,Native,DOA,0.1,Juvenile,Small Mammals-RVS,N/A,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-08-16T08:00:00,2018-08-16T08:30:00,Manhattan,Central Park,Trefoil Arch under East Drive at East 71st cross street is 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601184833,ACC,1,false,false,,,false,false,38337
2018-08-16T08:00:00,2018-08-16T08:30:00,Manhattan,Central Park,Central Park Children's Zoo entrance near Delecorte Clock/Arch. Cross Street 5th Ave and East 66th,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601184832,ACC,1,false,false,,,false,false,38336
2018-08-15T15:45:00,2018-08-15T15:50:00,Brooklyn,Marine Park,Burnett Street and Avenue U,Eastern Gray Squirrel,Public,Native,Healthy,0.5,Infant,Small Mammals-non RVS,,Relocated/Condition Corrected,4,false,false,,,false,false,
2018-08-15T14:30:00,2018-08-15T14:40:00,Manhattan,Central Park,"96 street mid-park, north of the tennis house",Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,1,Juvenile,Small Mammals-non RVS,,Monitored Animal,1,false,true,,0.5,false,false,
2018-08-15T12:07:00,2018-08-15T12:12:00,Manhattan,Central Park,Loeb boathouse in a trashcan,Raccoon,Employee,Native,Healthy,1.5,Adult,Small Mammals-RVS,1-1-1604211971,Monitored Animal,1,false,false,,,false,false,
2018-08-15T09:45:00,2018-08-15T09:45:00,Manhattan,Central Park,W 91st St and Central Park West,Raccoon,Employee,Native,Unhealthy,1.25,Juvenile,Small Mammals-RVS,1-1-1604211980,ACC,1,false,false,,,false,false,38234
2018-08-15T09:00:00,2018-08-15T09:10:00,Manhattan,Central Park,Bow Bridge,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1604211970,ACC,2,false,false,,,false,false,38231
2018-08-14T13:00:00,2018-08-15T14:00:00,Queens,Rockaway Beach and Boardwalk,Beach 41st Street near Shore,Juvenile Herring Gull,Employee,Native,Injured,1,Juvenile,Birds,1-1-1604132980,ACC,1,false,false,,,false,false,38184
2018-08-15T08:30:00,2018-08-15T08:30:00,Manhattan,Central Park,The Loeb Boathouse,Raccoon,Central,Native,Unhealthy,0.25,Adult,Small Mammals-RVS,1-1-1601746760,Advised/Educated others,1,false,false,,,false,false,
2018-08-14T15:00:00,2018-08-14T15:05:00,Manhattan,Central Park,E 76th and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Infant,Small Mammals-RVS,1-1-1602212590,ACC,1,false,false,,,false,false,38189
2018-08-14T10:30:00,2018-08-14T15:30:00,Bronx,Pelham Bay Park,Landfill,Raccoon,Employee,Native,Healthy,1,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-08-14T15:00:00,2018-08-14T15:06:00,Manhattan,Central Park,Ramble - south of Castle - stairs,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-08-14T13:45:00,2018-08-14T13:45:00,Manhattan,Central Park,86St and reservoir,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Domestic,1-1-1601184605,ACC,1,false,false,,,false,false,38182
2018-08-14T14:00:00,2018-08-14T14:42:00,Manhattan,Central Park,Delcorte Theater/81st Street,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1601533790,ACC,1,false,false,,,false,false,
2018-08-14T08:30:00,2018-08-14T10:28:00,Manhattan,Central Park,92/93st by Reservoir near Engineer's Gate.,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-08-14T08:45:00,2018-08-14T09:35:00,Manhattan,Central Park,Conservatory Gardens -Italian gardens under bench by entrance on north side,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601184603,ACC,1,false,false,,,false,false,38145
2018-08-14T09:50:00,2018-08-14T10:10:00,Manhattan,Central Park,E 67th street at the Billy Johnson Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1601156521,ACC,1,false,false,,,false,false,38143
2018-08-14T13:51:00,2018-08-14T13:51:00,Manhattan,Central Park,Loeb Boathouse,Raccoon,Employee,Native,N/A,0.75,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-08-14T09:30:00,2018-08-14T09:48:00,Manhattan,Central Park,E 66th back entrance of the children zoo near the underpass by the clock,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1601156521,ACC,1,false,false,,,false,false,38142
2018-08-14T11:00:00,2018-08-14T11:15:00,Manhattan,Central Park,The Ramble Azalea Pond at W 76th St and Central Park West,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.25,Juvenile,Small Mammals-RVS,1-1-1601533661,ACC,1,false,false,,,false,false,38151
2018-08-14T10:30:00,2018-08-14T11:00:00,Manhattan,Central Park,Ladies Pavilion at W 75th St and Central Park West,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.25,Juvenile,Small Mammals-RVS,1-1-1601533660,ACC,1,false,false,,,false,false,38150
2018-08-14T08:53:00,2018-08-14T09:12:00,Manhattan,Central Park,100th Street Pool - SW corner - creek leading into Pool,raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-08-13T16:20:00,2018-08-13T16:50:00,Manhattan,Central Park,"Near lamp post 7230, near boat house/ drive",Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,1.5,Adult,Small Mammals-RVS,1-1-1602644202,Unfounded,1,false,false,,,false,false,
2018-08-13T16:40:00,2018-08-13T16:50:00,Manhattan,Central Park,"East 75th Street, near Loeb Boat House Cafe",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1602644201,ACC,1,false,false,,,false,false,38086
2018-08-13T12:00:00,2018-08-13T12:15:00,Manhattan,Central Park,"W 96th & West Drive, Tennis Center",Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-08-13T10:30:00,2018-08-13T10:30:00,Manhattan,Central Park,77th & West Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Infant,Small Mammals-RVS,1-1-1597899544,ACC,1,false,false,,,false,false,38025
2018-08-13T09:30:00,2018-08-13T10:00:00,Manhattan,Central Park,97th & East Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1597899543,ACC,1,false,false,,,false,false,38024
2018-08-12T10:00:00,2018-08-12T15:30:00,Manhattan,Hudson River Park,12th street and West Street,Canada Goose,Employee,Native,Unhealthy,0.5,Adult,Birds,1-1-1603178692,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
2018-08-12T11:00:00,2018-08-12T11:30:00,Manhattan,Central Park,79 Street transverse road,Raccoon,Other,Native,DOA,0.5,Juvenile,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,true,false,
2018-08-12T10:00:00,2018-08-12T12:30:00,Manhattan,Central Park,"The ramble, on the point about 73 street mid-park",raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-non RVS,1-1-1601184302,ACC,1,false,false,,,false,false,37963
2018-08-12T11:30:00,2018-08-12T12:15:00,Manhattan,Central Park,79 Street transverse road,Raccoon,Other,Native,Unhealthy,1.5,Adult,Small Mammals-non RVS,1-1-1603241945,ACC,1,false,false,,,true,false,37962
2018-08-12T10:59:00,2018-08-12T11:45:00,Manhattan,Central Park,Central Park Zoo under the animal clock,raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-non RVS,1-1-1601184301,ACC,1,false,false,,,false,false,37961
2018-08-12T08:00:00,2018-08-12T11:15:00,Manhattan,Central Park,"Tennis house, south of 96 street transverse road",Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-non RVS,1-1-1601561130,ACC,1,false,false,,,false,false,37960
2018-08-11T12:00:00,2018-08-11T13:45:00,Queens,Rockaway Beach and Boardwalk,Beach 128th St and surf,gull,Employee,Native,Injured,3.5,Adult,Birds,1-1-1597899511,ACC,1,false,false,,,false,false,37895
2018-08-11T17:00:00,2018-08-11T17:24:00,Manhattan,Central Park,Gapstow Bridge - 62nd & E. Drive - on the path,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1597899510,ACC,1,false,false,,,false,false,37902
2018-08-10T22:05:00,2018-08-11T13:45:00,Queens,Rockaway Beach and Boardwalk,Beach 119th St and surf,gull,Central,Native,Injured,2,Adult,Birds,1-1-1601537307,Monitored Animal,1,false,true,,0.5,false,false,
2018-08-11T15:40:00,2018-08-11T16:13:00,Manhattan,Central Park,Loeb Boathouse - back deck,raccoon,Other,Native,Unhealthy,1.25,Adult,Small Mammals-RVS,1-1-1602166956,ACC,1,false,false,,,false,false,37888
2018-08-11T15:47:00,2018-08-11T15:54:00,Manhattan,Central Park,between Delacorte Theater and Shakespeare's Garden,raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-08-11T09:04:00,2018-08-11T13:47:00,Manhattan,Washington Market Park,"in box for us, inside park house",Mourning Dove,Employee,Native,Injured,2,Juvenile,Birds,1-1-1602166950,Rehabilitator,1,false,false,WBF,,false,false,
2018-08-11T12:30:00,2018-08-11T12:45:00,Manhattan,Central Park,On the 97th St Transverse,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,0.5,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-08-11T13:15:00,2018-08-11T14:00:00,Manhattan,Central Park,Conservatory Gardens at E 106th St and 5th Ave,Raccoon,Employee,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1602140060,ACC,1,false,false,,,false,false,37859
2018-08-11T15:20:00,2018-08-11T16:12:00,Queens,Flushing Meadows Corona Park,Boathouse,Raccoon,Employee,Native,Healthy,1,Infant,Small Mammals-RVS,1-1-1597899500,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-08-11T14:52:00,2018-08-11T15:30:00,Manhattan,Central Park,Bridal Path at East 84th Street. Not far from the South Pump House,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1601184280,ACC,1,false,false,,,false,false,37886
2018-08-11T16:10:00,2018-08-11T16:10:00,Manhattan,Central Park,East 106th 5th Ave Entrance to the Conservatory Gardens,Raccoon,Employee,Native,Healthy,0.5,Adult,Small Mammals-RVS,N/A,Monitored Animal,1,false,true,,0.15,false,false,
2018-08-11T11:54:00,2018-08-11T12:10:00,Manhattan,Central Park,Dana Center / MLK inside the park on the path,Squirrel,"Conservancies/""Friends of"" Groups",Native,Healthy,1,Infant,Small Mammals-non RVS,1-1-1602166960,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
2018-08-11T07:00:00,2018-08-11T10:00:00,Manhattan,Central Park,"E. 84th and E. Drive, by a lamp post",Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-08-10T17:00:00,2018-08-10T17:10:00,Manhattan,Central Park,Ramble. Nearest cross street is East 72nd and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1602140040,ACC,1,false,false,,,false,false,
2018-08-09T20:00:00,2018-08-10T09:00:00,Manhattan,Central Park,East 106th and 5th Ave near Conservatory Garden,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,N/A,Unfounded,1,false,false,,,false,false,
2018-08-10T14:10:00,2018-08-10T14:10:00,Manhattan,Central Park,Path not far from Oak Bridge. Nearest cross street West 76th and CPW,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1602446919,ACC,1,false,false,,,false,false,37743
2018-08-10T09:45:00,2018-08-10T09:50:00,Manhattan,Central  Park,Ramble not far from the Boathouse. Nearest cross street East 72nd and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601537253,ACC,1,false,false,,,false,false,37704
2018-08-10T09:30:00,2018-08-10T09:30:00,Manhattan,Central Park,Cherry Hill. Nearest cross street West 72nd CPW,Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601537251,ACC,1,false,false,,,false,false,37703
2018-08-10T09:00:00,2018-08-10T09:10:00,Manhattan,Central Park,Delecorte Theater stage. Nearest Cross Street West 81st and CPW,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601537250,ACC,1,false,false,,,false,false,37702
2018-08-10T13:30:00,2018-08-10T13:35:00,Staten Island,South Beach,On beach near Atlantic Ave.,Gull,Employee,Native,Unhealthy,0.25,Juvenile,Birds,1-1-1601746282,ACC,1,false,false,,,false,false,
2018-08-09T22:00:00,2018-08-10T09:45:00,Brooklyn,Prospect Park,Harmony Playground,Red Tail,Employee,Native,,12,Juvenile,Raptors,,Unfounded,1,false,false,,,false,false,
2018-08-10T09:10:00,2018-08-10T09:20:00,Queens,Fort Totten Park,In front of the pool near Story Rd,Raccoon,Central,Native,Healthy,0.75,"Adult;#Juvenile",Small Mammals-RVS,1-1-1602446910,Relocated/Condition Corrected,3,false,false,,,false,false,
2018-08-09T16:45:00,2018-08-09T16:56:00,Manhattan,Central Park,West 105th and CPW Entrance to the park,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601533143,ACC,1,false,false,,,false,false,37653
2018-08-09T18:10:00,2018-08-09T18:10:00,Manhattan,Central Park,The Lake at the Ladies Pavilion (W 75th St and CPW),Raccoon,Central,Native,DOA,0,Adult,Small Mammals-RVS,N/A,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-08-09T16:30:00,2018-08-09T16:45:00,Manhattan,Central Park,The Loeb Boathouse E 72nd St and 5th Ave,Raccoon,Other,Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-08-09T14:30:00,2018-08-09T14:45:00,Manhattan,Central Park,96St Transverse on the drive/ sidewalk,Raccoon,Public,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1599539412,ACC,1,false,false,,,false,false,37639
2018-08-09T09:00:00,2018-08-09T10:40:00,Manhattan,Central Park,96st Transverse Rd. and Bridlepath fork behind Transverse Rd. fence,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Juvenile,Small Mammals-RVS,1-1-1599116593,ACC,1,false,false,,,false,false,37598
2018-08-09T07:30:00,2018-08-09T09:00:00,Manhattan,Central Park,E 102nd St and East Drive.  South of Compost Hill,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Adult,Small Mammals-RVS,1-1-1599116596,ACC,1,false,true,,3.5,true,false,37618
