Keyword,Decision
Fragmentation,0
forest fragmentation,1
CSP,0
Geoecology,1
soil horizon,1
heat combustion,1
heat,1
honey bee,0
colonies,1
Apis mellifera,0
Western honey bee,0
Apis cerana,0
Apis dorsata,0
Apis koschevnikovi,0
Apis florea,0
Apis andreniformis,0
Apis nigrocincta,0
protozoans,1
Superkingdom,1
microbiota,1
mitochondrial,0
moth,0
genome,1
plasmid,1
phylum,1
Family,1
Genus,0
gene,1
phylogenies,1
eco-physiological studies,0
molecular,1
malaria,0
transmission ,0
microbiome studies,0
soil profile,1
study plot,0
mean,0
concentrations,0
earth,1
grain size,1
grain,1
decomposers,1
warm,1
dry season,1
climatic,1
climatic conditions,1
windthrows,1
liming,1
microbial activity,1
food-web,1
biodiversity crisis,1
environmental stress,1
Taxon richness,1
phylogenetic tree,1
metagenomic,0
ground-based plots,1
genera,1
families,1
genetic barcoding,1
anthropogenic disturbances,1
growing season,1
Standardized Precipitation Evapotranspiration Index (SPEI),0
normalized difference vegetation index (NDVI),0
water shortage,0
Drought impact,1
biota,1
phagocytosis,1
metagenomic analysis,0
species endangerment,1
holobiont,1
 Apis cerana,0
 Apis dorsata,0
Apis laboriosa,0
Aethina tumida,0
forest replenishment,1
nitrification rate,1
mineralisation rate,1
microbial biomass,1
Phylogenetic signals,1
trait evolution,1
phylogeny,1
trait interrelationships,1
trait variation,1
study plots,0
 cophenetic distance matrix,0
Taxonomic family,1
Leaf toughnes,1
leaf tensile strength,1
Metabolites,1
International Plant Names Index (IPNI),0
Comparative Study Plots (CSP),0
taxonomic affiliation,1
shrub,1
phenolic,0
polyphenols,1
plot,1
experimental site,1
Leaf dry matter content,1
Nitrogen Concentration,1
plasma optical emisssion spectrometer,0
Instrumentation,1
Leaf stomata size,1
Leaf stomata density,1
carbon to nitrogen ratio,1
nectaries,1
Trees with extrafloral nectaries,0
tree community,1
Ailanthus altissima,0
Idesia polycarpa,0
Melia azedarach ,0
Triadica sebifera,0
Triadica cochinchinensis,0
Diospyros japonica,0
Iridomyrmex anceps,0
vegetated conditions,1
Comparative study plots (CSPs),0
Laser precipitation monitor ,1
splash,1
splash cups random ,0
splash cups species-specific,0
rainfall,1
rain gauge,1
tipping-bucket rain gauge,0
rainfall intensity,1
average rainfall intensity ,0
Comparative Study Plots,0
stem,1
stem breaking probability,0
phylogenetic independence,1
Castanopsis eyrei FAGACEAE,1
Schima superba,0
Quercus serrata,0
azimuth,0
Tree neighbour competitive trait,0
decidious species,1
abundant decidious species,1
heigth of bifurcatin point,0
crown width,1
tree layer,1
tree performance,0
sampling period,1
dbh,0
Vegetation layer height,1
agricultural terraces,1
opportunists,0
organism count,1
holobiont communities,1
High-throughput sequencing,1
bee biology,0
accuracy,0
vascular plant species,1
regeneration,1
Flora ,1
year of the publications,0
Author name,0
taxonomic ,1
subtropics,1
raindrops,1
moisture ,1
habitat degradation,1
invasion,1
Forest restoration,1
fires,1
trophic levels,1
Marine,1
plant disease,1
disease,1
year,0
fish,1
month,0
Ecological Footprint,1
national biocapacity,1
National Footprint Accounts,0
environmental upgrading,1
nitrous oxide,1
nitrous oxide emissions,1
HFC gas emissions,1
environmental justice,0
planting,1
emission,1
methane,1
methane emission,1
electricity,1
bioclimatic,0
species loss,1
plant propagation,1
Living status,1